"Munic do un.saúde";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";" Total"
"431570 RIO PARDO";"1377";"2037";"1286";"1804";"993";"1421";"1297";"1710";"1292";"1480";"14697"
"431575 RIOZINHO";"0";"0";"298";"283";"263";"415";"328";"359";"384";"387";"2717"
"431580 ROCA SALES";"535";"517";"445";"602";"622";"890";"893";"694";"804";"664";"6666"
"431590 RODEIO BONITO";"726";"758";"460";"605";"339";"363";"430";"439";"467";"364";"4951"
"431595 ROLADOR";"245";"355";"304";"280";"130";"156";"239";"230";"229";"194";"2362"
"431600 ROLANTE";"0";"0";"1562";"1155";"872";"1690";"1381";"1241";"1509";"1165";"10575"
"431610 RONDA ALTA";"1092";"947";"706";"793";"768";"720";"749";"899";"819";"950";"8443"
"431620 RONDINHA";"651";"620";"677";"657";"574";"639";"438";"785";"561";"528";"6130"
"431630 ROQUE GONZALES";"1198";"1164";"713";"551";"421";"464";"418";"520";"480";"377";"6306"
"431640 ROSARIO DO SUL";"0";"0";"0";"1254";"635";"1349";"1628";"1584";"1928";"1909";"10287"
"431642 SAGRADA FAMILIA";"234";"231";"188";"196";"299";"186";"164";"208";"148";"103";"1957"
"431643 SALDANHA MARINHO";"256";"263";"219";"310";"146";"86";"191";"203";"179";"210";"2063"
"431645 SALTO DO JACUI";"392";"617";"692";"606";"427";"562";"616";"806";"715";"752";"6185"
"431647 SALVADOR DAS MISSOES";"277";"224";"221";"231";"153";"239";"238";"191";"184";"162";"2120"
"431650 SALVADOR DO SUL";"0";"0";"17";"248";"447";"559";"651";"571";"618";"554";"3665"
"431660 SANANDUVA";"1494";"1528";"1217";"1405";"690";"972";"1050";"1095";"980";"1321";"11752"
"431670 SANTA BARBARA DO SUL";"613";"776";"580";"479";"230";"445";"529";"683";"606";"611";"5552"
"431673 SANTA CECILIA DO SUL";"194";"193";"253";"246";"168";"351";"252";"292";"244";"267";"2460"
"431675 SANTA CLARA DO SUL";"585";"644";"528";"650";"448";"474";"531";"675";"575";"451";"5561"
"431680 SANTA CRUZ DO SUL";"6648";"6087";"4251";"6379";"3315";"5115";"5065";"5594";"6379";"6370";"55203"
"431690 SANTA MARIA";"9064";"8801";"9128";"8114";"5992";"7768";"8655";"9453";"8727";"8741";"84443"
"431695 SANTA MARIA DO HERVAL";"368";"388";"484";"367";"348";"497";"397";"441";"343";"375";"4008"
"431697 SANTA MARGARIDA DO SUL";"0";"0";"0";"90";"51";"81";"107";"169";"125";"197";"820"
