"Munic do un.saúde";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";" Total"
"251160 PILOES";"496";"404";"447";"349";"207";"242";"380";"539";"524";"354";"3942"
"251170 PILOEZINHOS";"262";"353";"280";"333";"164";"207";"248";"431";"261";"362";"2901"
"251180 PIRPIRITUBA";"392";"333";"249";"449";"217";"116";"522";"503";"325";"514";"3620"
"251190 PITIMBU";"1067";"937";"1085";"1144";"385";"864";"635";"1301";"1018";"984";"9420"
"251200 POCINHOS";"839";"777";"555";"1380";"771";"1138";"1695";"1354";"1034";"1057";"10600"
"251203 POCO DANTAS";"0";"180";"120";"0";"0";"158";"196";"185";"192";"144";"1175"
"251207 POCO DE JOSE DE MOURA";"0";"0";"0";"0";"0";"165";"208";"255";"207";"260";"1095"
"251210 POMBAL";"1904";"2554";"2716";"2551";"1441";"2550";"2756";"2707";"2234";"2281";"23694"
"251220 PRATA";"204";"224";"201";"348";"306";"308";"399";"417";"343";"361";"3111"
"251230 PRINCESA ISABEL";"3";"1299";"1206";"1494";"804";"919";"1959";"918";"1990";"1943";"12535"
"251240 PUXINANA";"668";"0";"0";"0";"0";"414";"556";"1044";"878";"91";"3651"
"251250 QUEIMADAS";"2515";"2437";"3262";"3833";"1712";"3295";"3625";"3814";"3572";"3416";"31481"
"251260 QUIXABA";"83";"147";"147";"112";"134";"244";"173";"178";"305";"267";"1790"
"251270 REMIGIO";"0";"1081";"1192";"1427";"942";"1098";"1183";"1650";"977";"1163";"10713"
"251272 PEDRO REGIS";"282";"191";"201";"287";"154";"352";"483";"412";"440";"402";"3204"
"251274 RIACHAO";"218";"198";"179";"349";"100";"235";"177";"168";"152";"287";"2063"
"251275 RIACHAO DO BACAMARTE";"123";"279";"306";"302";"173";"327";"262";"387";"254";"292";"2705"
"251276 RIACHAO DO POCO";"69";"11";"125";"120";"31";"126";"121";"193";"173";"115";"1084"
"251278 RIACHO DE SANTO ANTONIO";"0";"0";"0";"0";"0";"90";"171";"111";"96";"119";"587"
"251280 RIACHO DOS CAVALOS";"464";"628";"527";"639";"208";"194";"507";"508";"307";"344";"4326"
"251290 RIO TINTO";"1100";"1648";"1254";"1652";"802";"2116";"1570";"1409";"1429";"1566";"14546"
"251300 SALGADINHO";"234";"254";"327";"231";"129";"155";"138";"237";"315";"264";"2284"
"251310 SALGADO DE SAO FELIX";"797";"846";"951";"1200";"508";"1000";"699";"818";"764";"889";"8472"
"251315 SANTA CECILIA";"570";"555";"619";"438";"243";"332";"406";"474";"264";"57";"3958"
"251320 SANTA CRUZ";"92";"61";"182";"197";"117";"188";"264";"65";"142";"188";"1496"
"251330 SANTA HELENA";"0";"348";"139";"377";"170";"258";"0";"0";"123";"338";"1753"
"251340 SANTA LUZIA";"957";"856";"996";"826";"751";"652";"804";"1035";"1000";"1015";"8892"
"251350 SANTANA DE MANGUEIRA";"344";"249";"265";"252";"201";"292";"256";"450";"292";"208";"2809"
"251360 SANTANA DOS GARROTES";"454";"73";"315";"374";"365";"567";"447";"445";"412";"275";"3727"
"251365 JOCA CLAUDINO";"71";"0";"0";"0";"0";"0";"0";"0";"0";"1202";"1273"
"251370 SANTA RITA";"972";"1218";"1521";"1346";"1107";"1920";"1309";"2303";"1940";"1615";"15251"
"251380 SANTA TERESINHA";"155";"259";"264";"285";"270";"234";"274";"326";"241";"183";"2491"
"251385 SANTO ANDRE";"277";"301";"198";"242";"155";"249";"270";"241";"259";"272";"2464"
"251390 SAO BENTO";"1840";"1898";"2069";"1929";"1119";"997";"1130";"1295";"1015";"1387";"14679"
"251392 SAO BENTINHO";"40";"19";"186";"285";"172";"278";"377";"146";"177";"398";"2078"
"251394 SAO DOMINGOS DO CARIRI";"292";"244";"229";"248";"141";"127";"134";"175";"257";"350";"2197"
"251396 SAO DOMINGOS";"174";"104";"192";"302";"51";"240";"235";"272";"249";"186";"2005"
"251398 SAO FRANCISCO";"237";"39";"143";"490";"76";"427";"371";"277";"203";"344";"2607"
"251400 SAO JOAO DO CARIRI";"126";"0";"0";"128";"200";"223";"269";"187";"20";"0";"1153"
"251410 SAO JOAO DO TIGRE";"400";"336";"338";"276";"178";"547";"380";"32";"0";"0";"2487"
"251420 SAO JOSE DA LAGOA TAPADA";"91";"81";"225";"300";"122";"333";"229";"293";"242";"328";"2244"
"251430 SAO JOSE DE CAIANA";"321";"535";"443";"432";"385";"472";"356";"391";"352";"349";"4036"
"251440 SAO JOSE DE ESPINHARAS";"132";"197";"419";"380";"251";"265";"485";"418";"385";"398";"3330"
"251445 SAO JOSE DOS RAMOS";"500";"501";"481";"408";"221";"406";"389";"386";"290";"444";"4026"
"251450 SAO JOSE DE PIRANHAS";"81";"437";"1";"666";"287";"171";"416";"709";"575";"558";"3901"
"251455 SAO JOSE DE PRINCESA";"0";"0";"0";"0";"93";"211";"74";"132";"62";"0";"572"
"251460 SAO JOSE DO BONFIM";"60";"77";"51";"90";"51";"121";"175";"103";"87";"114";"929"
"251465 SAO JOSE DO BREJO DO CRUZ";"53";"69";"111";"88";"39";"56";"63";"38";"49";"23";"589"
"251470 SAO JOSE DO SABUGI";"257";"216";"289";"247";"256";"170";"241";"294";"259";"242";"2471"
"251480 SAO JOSE DOS CORDEIROS";"143";"212";"332";"230";"187";"165";"323";"413";"237";"221";"2463"
"251490 SAO MAMEDE";"525";"572";"569";"479";"467";"277";"552";"748";"561";"544";"5294"
"251500 SAO MIGUEL DE TAIPU";"0";"0";"0";"0";"86";"336";"554";"741";"642";"396";"2755"
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";"311";"560";"682";"709";"0";"0";"0";"0";"0";"610";"2872"
"251520 SAO SEBASTIAO DO UMBUZEIRO";"459";"387";"461";"363";"359";"321";"363";"405";"293";"342";"3753"
"251530 SAPE";"2363";"3548";"2131";"2445";"1203";"1152";"1343";"844";"1950";"314";"17293"
"251540 SAO VICENTE DO SERIDO";"279";"916";"802";"1086";"468";"572";"902";"713";"737";"559";"7034"
"251550 SERRA BRANCA";"1036";"1200";"862";"1005";"461";"698";"691";"641";"659";"886";"8139"
"251560 SERRA DA RAIZ";"152";"168";"183";"166";"67";"111";"183";"139";"59";"103";"1331"
"251570 SERRA GRANDE";"402";"260";"398";"377";"237";"564";"403";"403";"405";"470";"3919"
"251580 SERRA REDONDA";"236";"257";"338";"301";"78";"0";"220";"577";"367";"341";"2715"
"251590 SERRARIA";"409";"310";"428";"271";"303";"294";"296";"408";"227";"310";"3256"
"251593 SERTAOZINHO";"314";"453";"427";"392";"300";"382";"383";"485";"418";"503";"4057"
"251597 SOBRADO";"620";"695";"668";"568";"442";"747";"680";"879";"680";"771";"6750"
"251600 SOLANEA";"932";"602";"1";"1225";"790";"894";"1692";"1612";"1418";"1741";"10907"
"251615 SOSSEGO";"0";"0";"0";"0";"0";"400";"420";"414";"445";"348";"2027"
"251620 SOUSA";"1384";"778";"1482";"3628";"1415";"2024";"2963";"3326";"3085";"3032";"23117"
"251630 SUME";"2401";"2129";"2115";"2910";"1050";"2176";"263";"2032";"2268";"2014";"19358"
"251640 TACIMA";"466";"389";"386";"455";"109";"470";"453";"290";"312";"278";"3608"
"251650 TAPEROA";"400";"500";"620";"430";"452";"584";"1383";"1129";"956";"1031";"7485"
"251660 TAVARES";"715";"944";"750";"1042";"725";"933";"1054";"1039";"882";"1059";"9143"
"251670 TEIXEIRA";"659";"588";"828";"652";"372";"951";"1091";"94";"317";"497";"6049"
"251675 TENORIO";"76";"219";"207";"154";"115";"164";"273";"192";"128";"195";"1723"
"251680 TRIUNFO";"176";"220";"369";"377";"156";"0";"212";"349";"394";"335";"2588"
"251690 UIRAUNA";"0";"259";"478";"266";"0";"0";"0";"1508";"966";"1270";"4747"
"251700 UMBUZEIRO";"477";"601";"571";"558";"372";"760";"393";"121";"120";"595";"4568"
"251710 VARZEA";"175";"289";"266";"183";"237";"125";"133";"259";"131";"195";"1993"
"251720 VIEIROPOLIS";"111";"76";"211";"272";"132";"130";"157";"61";"190";"275";"1615"
"251740 ZABELE";"221";"171";"204";"127";"117";"160";"228";"199";"158";"258";"1843"
"260005 ABREU E LIMA";"5511";"4625";"5257";"4563";"1020";"1173";"4340";"4862";"3218";"2290";"36859"
"260010 AFOGADOS DA INGAZEIRA";"3357";"3601";"3200";"2984";"1651";"2869";"2644";"2984";"2501";"3464";"29255"
"260020 AFRANIO";"0";"0";"0";"0";"0";"34";"132";"0";"0";"0";"166"
"260030 AGRESTINA";"2208";"2281";"2018";"1689";"942";"92";"0";"460";"1398";"1122";"12210"
"260040 AGUA PRETA";"1122";"1326";"1470";"1494";"1105";"1175";"1088";"1187";"303";"165";"10435"
"260050 AGUAS BELAS";"1514";"1949";"2017";"2848";"1481";"1750";"2135";"2688";"2711";"2869";"21962"
"260060 ALAGOINHA";"1443";"1239";"1387";"1038";"791";"846";"824";"989";"889";"980";"10426"
"260070 ALIANCA";"1087";"1968";"1078";"400";"807";"1516";"1452";"1277";"1072";"1247";"11904"
"260080 ALTINHO";"1072";"1233";"1571";"1104";"881";"1107";"1412";"1819";"1352";"1489";"13040"
"260090 AMARAJI";"700";"1026";"1194";"1003";"460";"446";"1224";"836";"356";"79";"7324"
"260100 ANGELIM";"519";"534";"592";"422";"337";"746";"937";"1055";"795";"1024";"6961"
"260105 ARACOIABA";"889";"1078";"1416";"238";"585";"186";"844";"1992";"1510";"1230";"9968"
"260110 ARARIPINA";"1654";"5182";"1839";"4064";"2689";"3293";"4248";"3300";"2580";"4094";"32943"
"260120 ARCOVERDE";"6523";"6276";"6371";"6675";"3951";"5708";"5691";"6590";"6781";"6532";"61098"
"260130 BARRA DE GUABIRABA";"1049";"873";"809";"737";"311";"389";"375";"566";"550";"485";"6144"
"260140 BARREIROS";"1815";"1229";"1055";"418";"616";"553";"2224";"1699";"379";"100";"10088"
"260150 BELEM DE MARIA";"460";"899";"876";"730";"698";"832";"818";"1009";"73";"45";"6440"
"260160 BELEM DE SAO FRANCISCO";"377";"590";"357";"744";"288";"465";"562";"735";"524";"191";"4833"
"260170 BELO JARDIM";"2505";"1853";"621";"919";"559";"3406";"3811";"4469";"3795";"2848";"24786"
"260180 BETANIA";"170";"279";"233";"435";"317";"310";"458";"1253";"0";"0";"3455"
"260190 BEZERROS";"1463";"2961";"3156";"2882";"1995";"2462";"1924";"3186";"2181";"2012";"24222"
"260200 BODOCO";"297";"443";"2513";"1965";"891";"1425";"776";"944";"2477";"2491";"14222"
"260210 BOM CONSELHO";"2119";"1725";"1928";"1993";"740";"1595";"2318";"3100";"1991";"3160";"20669"
"260220 BOM JARDIM";"2063";"2817";"2073";"581";"1005";"1932";"2108";"2483";"2155";"1994";"19211"
"260230 BONITO";"2475";"1500";"860";"1539";"1002";"1449";"1428";"2586";"2328";"1756";"16923"
"260240 BREJAO";"422";"460";"434";"553";"379";"1011";"898";"1311";"1001";"1259";"7728"
"260250 BREJINHO";"731";"853";"689";"654";"545";"792";"525";"632";"516";"627";"6564"
"260260 BREJO DA MADRE DE DEUS";"2204";"2002";"1572";"713";"556";"1555";"1760";"1470";"1129";"1195";"14156"
"260270 BUENOS AIRES";"872";"1033";"1010";"257";"327";"519";"677";"1106";"775";"876";"7452"
"260280 BUIQUE";"2459";"3177";"3976";"1267";"2024";"3179";"3005";"4149";"3736";"3267";"30239"
"260290 CABO DE SANTO AGOSTINHO";"14359";"12666";"14729";"15601";"10511";"14630";"14168";"17829";"15775";"11810";"142078"
"260300 CABROBO";"441";"0";"0";"0";"0";"58";"326";"0";"0";"1603";"2428"
"260310 CACHOEIRINHA";"805";"875";"266";"556";"665";"698";"616";"1166";"874";"970";"7491"
"260320 CAETES";"1274";"1202";"874";"891";"363";"695";"886";"1218";"824";"0";"8227"
"260330 CALCADO";"656";"738";"873";"798";"446";"691";"859";"866";"677";"916";"7520"
"260340 CALUMBI";"104";"100";"54";"222";"142";"263";"188";"389";"96";"0";"1558"
"260345 CAMARAGIBE";"9073";"4981";"8396";"6653";"5515";"6828";"6913";"9225";"8337";"7587";"73508"
"260350 CAMOCIM DE SAO FELIX";"242";"596";"779";"525";"563";"928";"815";"1185";"755";"1012";"7400"
"260360 CAMUTANGA";"478";"417";"378";"46";"67";"498";"454";"621";"444";"478";"3881"
"260370 CANHOTINHO";"986";"1097";"1172";"871";"742";"1314";"1242";"1587";"1799";"1795";"12605"
"260380 CAPOEIRAS";"1154";"1466";"1464";"1347";"1045";"807";"1165";"1573";"1517";"1318";"12856"
"260390 CARNAIBA";"2170";"2334";"2203";"1763";"741";"2371";"1822";"2330";"2510";"2264";"20508"
"260392 CARNAUBEIRA DA PENHA";"414";"559";"187";"689";"477";"760";"696";"1086";"766";"560";"6194"
"260400 CARPINA";"2318";"4021";"3506";"1037";"2163";"2115";"2532";"2837";"2199";"0";"22728"
"260410 CARUARU";"13567";"15663";"16861";"17316";"13175";"14930";"12878";"13947";"16902";"11574";"146813"
"260415 CASINHAS";"853";"904";"795";"180";"362";"846";"784";"1147";"1185";"1208";"8264"
"260420 CATENDE";"919";"736";"739";"86";"733";"1193";"854";"1161";"229";"93";"6743"
"260430 CEDRO";"415";"487";"324";"401";"41";"381";"334";"352";"279";"297";"3311"
"260440 CHA DE ALEGRIA";"381";"525";"704";"101";"0";"147";"524";"463";"533";"600";"3978"
"260450 CHA GRANDE";"1012";"897";"1050";"968";"479";"250";"874";"850";"802";"829";"8011"
"260460 CONDADO";"632";"1164";"878";"187";"816";"1137";"821";"746";"2089";"2314";"10784"
"260470 CORRENTES";"292";"385";"519";"437";"111";"446";"554";"660";"684";"1315";"5403"
"260480 CORTES";"938";"846";"867";"594";"295";"1143";"711";"503";"136";"31";"6064"
"260490 CUMARU";"1194";"1316";"1031";"735";"908";"1203";"1108";"1302";"1065";"1004";"10866"
"260500 CUPIRA";"1100";"1325";"1351";"1057";"460";"687";"602";"1172";"1078";"1153";"9985"
"260510 CUSTODIA";"736";"2402";"2404";"620";"1402";"2108";"2576";"2793";"2400";"1322";"18763"
"260515 DORMENTES";"0";"0";"0";"0";"0";"31";"155";"0";"0";"0";"186"
"260520 ESCADA";"4609";"3166";"2897";"238";"0";"7580";"3354";"4007";"398";"180";"26429"
"260530 EXU";"0";"0";"0";"0";"58";"741";"1393";"1801";"2433";"2017";"8443"
"260540 FEIRA NOVA";"1361";"1646";"1520";"603";"1230";"1637";"973";"1081";"1324";"1528";"12903"
"260545 FERNANDO DE NORONHA";"218";"250";"278";"64";"0";"54";"344";"373";"225";"48";"1854"
"260550 FERREIROS";"423";"507";"545";"71";"339";"586";"425";"533";"471";"505";"4405"
"260560 FLORES";"1268";"1340";"710";"1477";"883";"945";"1444";"2248";"1325";"1178";"12818"
"260570 FLORESTA";"1167";"870";"402";"1265";"747";"1318";"1328";"1472";"1386";"1349";"11304"
"260580 FREI MIGUELINHO";"284";"0";"204";"288";"73";"499";"718";"521";"479";"659";"3725"
"260590 GAMELEIRA";"395";"480";"719";"621";"498";"979";"1096";"1448";"303";"71";"6610"
"260600 GARANHUNS";"9861";"13027";"14031";"13291";"6372";"8294";"10741";"13494";"10345";"9801";"109257"
"260610 GLORIA DO GOITA";"957";"520";"1242";"158";"0";"840";"626";"481";"468";"2";"5294"
"260620 GOIANA";"1440";"2118";"1773";"465";"194";"4943";"3185";"5384";"2031";"8863";"30396"
"260630 GRANITO";"0";"0";"0";"283";"164";"348";"256";"357";"169";"0";"1577"
"260640 GRAVATA";"2575";"3063";"3497";"3742";"2202";"4542";"5904";"5050";"5012";"3785";"39372"
"260650 IATI";"861";"1189";"1177";"1270";"950";"1097";"1073";"1755";"1345";"1396";"12113"
"260660 IBIMIRIM";"2247";"2502";"2755";"826";"1368";"1898";"1647";"2267";"2004";"1631";"19145"
"260670 IBIRAJUBA";"279";"360";"288";"263";"93";"335";"218";"307";"305";"321";"2769"
"260680 IGARASSU";"5827";"5216";"5381";"1520";"3912";"4331";"5862";"6243";"4927";"6532";"49751"
"260690 IGUARACY";"770";"811";"742";"658";"547";"1020";"794";"946";"702";"789";"7779"
"260700 INAJA";"311";"667";"468";"563";"435";"835";"659";"1066";"689";"495";"6188"
"260710 INGAZEIRA";"460";"671";"528";"515";"351";"485";"481";"775";"650";"655";"5571"
"260720 IPOJUCA";"5445";"5289";"7036";"1307";"0";"4389";"5327";"6908";"5884";"5230";"46815"
"260730 IPUBI";"934";"1644";"1662";"1988";"1064";"1489";"1245";"1343";"1306";"1230";"13905"
"260740 ITACURUBA";"0";"201";"59";"181";"116";"95";"180";"336";"238";"241";"1647"
"260750 ITAIBA";"358";"1244";"1286";"1020";"822";"1346";"2022";"2537";"1586";"2120";"14341"
"260760 ILHA DE ITAMARACA";"587";"562";"550";"86";"0";"835";"908";"1421";"888";"6";"5843"
"260765 ITAMBE";"774";"1950";"1395";"218";"1152";"1706";"1882";"1886";"1580";"1845";"14388"
"260770 ITAPETIM";"1300";"1238";"1275";"1384";"966";"1519";"948";"1488";"1296";"998";"12412"
"260775 ITAPISSUMA";"1407";"1730";"2043";"280";"0";"2515";"1629";"1397";"119";"0";"11120"
"260780 ITAQUITINGA";"741";"602";"551";"107";"0";"1434";"989";"1073";"1055";"877";"7429"
"260790 JABOATAO DOS GUARARAPES";"14966";"17216";"15298";"18589";"6770";"9064";"13241";"19244";"16225";"9786";"140399"
"260795 JAQUEIRA";"117";"257";"325";"120";"270";"523";"495";"1257";"209";"57";"3630"
"260800 JATAUBA";"841";"727";"114";"0";"53";"694";"631";"680";"670";"612";"5022"
"260805 JATOBA";"753";"1098";"1183";"650";"590";"1491";"1482";"1417";"1775";"1038";"11477"
"260810 JOAO ALFREDO";"1754";"1948";"2200";"783";"1103";"1289";"1827";"1754";"1822";"998";"15478"
"260820 JOAQUIM NABUCO";"568";"1038";"1411";"1165";"434";"850";"718";"469";"140";"11";"6804"
"260825 JUCATI";"662";"793";"780";"787";"270";"631";"541";"1075";"935";"1085";"7559"
"260830 JUPI";"588";"1013";"1082";"1042";"354";"779";"958";"982";"927";"1069";"8794"
"260840 JUREMA";"1337";"1345";"1335";"959";"574";"415";"444";"522";"1277";"1100";"9308"
"260845 LAGOA DO CARRO";"581";"948";"743";"232";"707";"940";"760";"1140";"882";"854";"7787"
"260850 LAGOA DE ITAENGA";"1173";"1474";"1493";"771";"816";"832";"784";"1207";"880";"971";"10401"
"260860 LAGOA DO OURO";"861";"924";"893";"1103";"555";"927";"685";"1129";"1055";"996";"9128"
"260870 LAGOA DOS GATOS";"476";"527";"468";"136";"473";"797";"1076";"910";"144";"69";"5076"
"260875 LAGOA GRANDE";"0";"0";"0";"0";"0";"26";"154";"0";"0";"0";"180"
"260880 LAJEDO";"1688";"1773";"1893";"1720";"1058";"1414";"1921";"2328";"1952";"2244";"17991"
"260890 LIMOEIRO";"7315";"5976";"5858";"3670";"2609";"5182";"5394";"6270";"6717";"5874";"54865"
"260900 MACAPARANA";"1166";"1368";"1630";"363";"1080";"2019";"1399";"1334";"1292";"1400";"13051"
"260910 MACHADOS";"644";"722";"803";"296";"518";"927";"969";"1253";"1280";"1235";"8647"
"260915 MANARI";"776";"753";"677";"659";"738";"781";"712";"1689";"699";"580";"8064"
"260920 MARAIAL";"297";"114";"87";"23";"21";"706";"119";"736";"124";"17";"2244"
"260930 MIRANDIBA";"614";"422";"225";"353";"72";"332";"570";"938";"657";"481";"4664"
"260940 MORENO";"2001";"3444";"3961";"3124";"1663";"2994";"2375";"3418";"2972";"2887";"28839"
"260950 NAZARE DA MATA";"848";"1429";"1316";"285";"1016";"792";"984";"989";"856";"1459";"9974"
"260960 OLINDA";"18977";"19945";"21954";"21495";"12600";"18544";"14516";"15652";"17368";"14339";"175390"
"260970 OROBO";"1594";"1372";"1593";"408";"870";"1423";"1299";"1766";"1426";"1441";"13192"
"260980 OROCO";"0";"0";"0";"0";"0";"10";"79";"0";"45";"507";"641"
"260990 OURICURI";"958";"0";"375";"3334";"1269";"2144";"2015";"1893";"1087";"2322";"15397"
"261000 PALMARES";"1769";"3376";"3125";"4504";"2818";"5585";"5440";"4473";"3040";"1162";"35292"
"261010 PALMEIRINA";"108";"305";"316";"362";"142";"404";"328";"469";"395";"443";"3272"
"261020 PANELAS";"1458";"1000";"1086";"909";"618";"715";"653";"1163";"1060";"1438";"10100"
"261030 PARANATAMA";"587";"699";"785";"788";"504";"733";"690";"1136";"825";"746";"7493"
"261040 PARNAMIRIM";"4";"0";"0";"0";"0";"653";"785";"678";"408";"778";"3306"
"261050 PASSIRA";"1976";"2615";"2154";"510";"949";"1368";"1733";"2026";"1688";"1501";"16520"
"261060 PAUDALHO";"1710";"2436";"3048";"952";"2280";"2445";"3453";"4057";"1932";"0";"22313"
"261070 PAULISTA";"2246";"6675";"7691";"9358";"4440";"4487";"4621";"5564";"4414";"4987";"54483"
"261080 PEDRA";"810";"840";"1277";"197";"1";"1109";"1293";"1451";"1560";"698";"9236"
"261090 PESQUEIRA";"3888";"4528";"5046";"6497";"3106";"4935";"4398";"5812";"4687";"4445";"47342"
"261100 PETROLANDIA";"2470";"2273";"2153";"618";"787";"2436";"2167";"2574";"2740";"2026";"20244"
"261110 PETROLINA";"523";"0";"2090";"12275";"1491";"7367";"4489";"5487";"263";"5586";"39571"
"261120 POCAO";"435";"303";"390";"714";"458";"761";"167";"0";"996";"669";"4893"
"261130 POMBOS";"1303";"895";"1330";"859";"412";"756";"915";"766";"564";"858";"8658"
"261140 PRIMAVERA";"569";"766";"809";"771";"1311";"995";"802";"825";"107";"46";"7001"
"261150 QUIPAPA";"806";"646";"876";"846";"475";"840";"889";"877";"838";"73";"7166"
"261153 QUIXABA";"396";"463";"428";"333";"233";"546";"605";"592";"564";"597";"4757"
"261160 RECIFE";"79568";"100189";"98745";"94686";"40639";"54004";"70105";"74201";"81649";"66123";"759909"
"261170 RIACHO DAS ALMAS";"1672";"1653";"1569";"762";"265";"578";"865";"871";"956";"967";"10158"
"261180 RIBEIRAO";"1127";"1892";"1435";"436";"889";"851";"1006";"660";"138";"62";"8496"
"261190 RIO FORMOSO";"792";"1030";"1517";"1322";"1062";"1298";"1249";"1433";"588";"53";"10344"
"261200 SAIRE";"570";"592";"576";"322";"122";"523";"325";"621";"536";"430";"4617"
"261210 SALGADINHO";"212";"521";"402";"127";"334";"439";"498";"588";"688";"501";"4310"
"261220 SALGUEIRO";"4047";"5496";"2459";"5188";"2168";"3220";"3883";"5717";"3296";"3427";"38901"
"261230 SALOA";"635";"962";"1145";"1013";"775";"680";"720";"1480";"364";"616";"8390"
"261240 SANHARO";"1352";"742";"521";"1242";"600";"1050";"929";"1265";"1568";"1242";"10511"
"261245 SANTA CRUZ";"0";"0";"0";"263";"600";"1009";"702";"1171";"718";"1052";"5515"
"261247 SANTA CRUZ DA BAIXA VERDE";"374";"523";"134";"0";"0";"0";"0";"0";"0";"0";"1031"
"261250 SANTA CRUZ DO CAPIBARIBE";"1740";"1415";"1814";"2632";"1338";"0";"990";"3501";"3294";"4015";"20739"
"261255 SANTA FILOMENA";"0";"0";"0";"0";"107";"450";"426";"431";"296";"503";"2213"
"261260 SANTA MARIA DA BOA VISTA";"407";"0";"0";"0";"0";"33";"428";"0";"0";"0";"868"
"261270 SANTA MARIA DO CAMBUCA";"1425";"982";"999";"852";"756";"845";"899";"1243";"1678";"1182";"10861"
"261280 SANTA TEREZINHA";"880";"832";"781";"606";"330";"975";"1203";"967";"891";"1107";"8572"
"261290 SAO BENEDITO DO SUL";"233";"201";"223";"193";"33";"151";"231";"364";"116";"17";"1762"
"261300 SAO BENTO DO UNA";"3371";"1637";"1070";"2026";"2023";"1921";"3182";"4949";"2938";"2330";"25447"
"261310 SAO CAITANO";"2246";"1853";"1827";"1475";"1088";"1359";"1386";"1779";"1777";"1506";"16296"
"261320 SAO JOAO";"784";"1297";"1498";"1402";"914";"1216";"1742";"1426";"1386";"1347";"13012"
"261330 SAO JOAQUIM DO MONTE";"1205";"1086";"1370";"1377";"779";"869";"987";"1420";"1148";"930";"11171"
"261340 SAO JOSE DA COROA GRANDE";"803";"815";"750";"521";"423";"788";"709";"940";"222";"67";"6038"
"261350 SAO JOSE DO BELMONTE";"611";"1441";"332";"1073";"420";"433";"501";"3058";"1522";"1725";"11116"
"261360 SAO JOSE DO EGITO";"2420";"3804";"3058";"3174";"2674";"2679";"2955";"3202";"3052";"2675";"29693"
"261370 SAO LOURENCO DA MATA";"1220";"2273";"2598";"414";"0";"576";"2163";"1817";"2787";"3868";"17716"
"261380 SAO VICENTE FERRER";"839";"1131";"1195";"115";"780";"1242";"1171";"1541";"1367";"1237";"10618"
"261390 SERRA TALHADA";"6794";"7987";"8612";"8916";"6379";"7637";"6836";"8251";"8397";"7733";"77542"
"261400 SERRITA";"1217";"1273";"1305";"1437";"391";"1407";"1271";"1580";"1323";"1950";"13154"
"261410 SERTANIA";"1862";"1949";"1658";"554";"573";"1254";"2128";"1971";"2267";"1762";"15978"
"261420 SIRINHAEM";"1556";"1493";"1511";"1897";"1236";"1091";"1351";"1712";"562";"84";"12493"
"261430 MOREILANDIA";"0";"0";"0";"0";"0";"466";"549";"438";"333";"0";"1786"
"261440 SOLIDAO";"362";"602";"693";"619";"385";"673";"588";"577";"565";"526";"5590"
"261450 SURUBIM";"4239";"4326";"3924";"1186";"2677";"2303";"2386";"2894";"2656";"3225";"29816"
"261460 TABIRA";"1864";"1786";"1770";"1682";"1078";"1796";"1935";"2508";"1568";"2089";"18076"
"261470 TACAIMBO";"372";"541";"423";"417";"336";"462";"520";"1133";"767";"0";"4971"
"261480 TACARATU";"1732";"1815";"1855";"516";"789";"1341";"1834";"1500";"1316";"1128";"13826"
"261485 TAMANDARE";"1273";"1167";"1299";"990";"877";"1102";"1069";"963";"167";"71";"8978"
"261500 TAQUARITINGA DO NORTE";"715";"1021";"921";"747";"379";"828";"773";"945";"1522";"1439";"9290"
"261510 TEREZINHA";"539";"722";"656";"538";"523";"1071";"689";"1125";"802";"841";"7506"
"261520 TERRA NOVA";"908";"826";"377";"933";"442";"379";"845";"1026";"772";"638";"7146"
"261530 TIMBAUBA";"3536";"5184";"5095";"5445";"3464";"4424";"3800";"3894";"3354";"2779";"40975"
"261540 TORITAMA";"744";"1124";"1311";"731";"371";"847";"739";"2667";"2028";"1826";"12388"
"261550 TRACUNHAEM";"330";"200";"326";"67";"194";"225";"226";"450";"331";"305";"2654"
"261560 TRINDADE";"0";"0";"0";"1052";"777";"1162";"1058";"1584";"1543";"1404";"8580"
"261570 TRIUNFO";"1008";"911";"77";"0";"0";"0";"0";"0";"0";"0";"1996"
"261580 TUPANATINGA";"656";"1646";"1091";"274";"559";"851";"1087";"1306";"1320";"696";"9486"
"261590 TUPARETAMA";"556";"738";"516";"532";"385";"618";"637";"495";"497";"645";"5619"
"261600 VENTUROSA";"1337";"1211";"1276";"413";"595";"1067";"993";"1373";"1170";"1511";"10946"
"261610 VERDEJANTE";"572";"838";"498";"902";"422";"480";"569";"577";"388";"168";"5414"
"261618 VERTENTE DO LERIO";"381";"462";"507";"122";"353";"532";"712";"947";"699";"529";"5244"
"261620 VERTENTES";"761";"565";"171";"590";"366";"591";"491";"585";"792";"822";"5734"
"261630 VICENCIA";"1233";"1219";"1090";"1165";"908";"1291";"1086";"1338";"1252";"1089";"11671"
"261640 VITORIA DE SANTO ANTAO";"4328";"4997";"7734";"6699";"2590";"5253";"4499";"0";"7632";"5313";"49045"
"261650 XEXEU";"502";"592";"874";"1133";"559";"511";"535";"542";"147";"29";"5424"
"270010 AGUA BRANCA";"251";"905";"1218";"1253";"757";"1026";"1520";"1811";"1187";"1459";"11387"
"270020 ANADIA";"326";"217";"1082";"780";"436";"509";"783";"1205";"1029";"1246";"7613"
