estado,municipio,valor_indicador,ano_mes,data_atualizacao,tipo_exame
CE,Mauriti,64.0,202012,2026-04-10 23:48:14,Mamografia
CE,Aurora,52.0,201912,2026-04-10 23:48:25,Mamografia
CE,Barbalha,1027.0,201912,2026-04-10 23:48:25,Mamografia
CE,Brejo Santo,1176.0,201912,2026-04-10 23:48:25,Mamografia
CE,Campos Sales,1.0,201912,2026-04-10 23:48:25,Mamografia
CE,Crato,2.0,201912,2026-04-10 23:48:25,Mamografia
CE,Farias Brito,124.0,201912,2026-04-10 23:48:25,Mamografia
CE,Juazeiro do Norte,1972.0,201912,2026-04-10 23:48:25,Mamografia
CE,Milagres,140.0,201912,2026-04-10 23:48:25,Mamografia
CE,Várzea Alegre,155.0,201912,2026-04-10 23:48:25,Mamografia
CE,Barbalha,2573.0,201812,2026-04-10 23:48:37,Mamografia
CE,Brejo Santo,1720.0,201812,2026-04-10 23:48:37,Mamografia
CE,Crato,1000.0,201812,2026-04-10 23:48:37,Mamografia
CE,Granjeiro,143.0,201812,2026-04-10 23:48:37,Mamografia
CE,Juazeiro do Norte,1435.0,201812,2026-04-10 23:48:37,Mamografia
CE,Milagres,148.0,201812,2026-04-10 23:48:37,Mamografia
CE,Santana do Cariri,106.0,201812,2026-04-10 23:48:37,Mamografia
CE,Abaiara,66.0,201712,2026-04-10 23:48:49,Mamografia
CE,Antonina do Norte,144.0,201712,2026-04-10 23:48:49,Mamografia
CE,Barbalha,2603.0,201712,2026-04-10 23:48:49,Mamografia
CE,Brejo Santo,1555.0,201712,2026-04-10 23:48:49,Mamografia
CE,Campos Sales,153.0,201712,2026-04-10 23:48:49,Mamografia
CE,Crato,2092.0,201712,2026-04-10 23:48:49,Mamografia
CE,Juazeiro do Norte,936.0,201712,2026-04-10 23:48:49,Mamografia
CE,Milagres,155.0,201712,2026-04-10 23:48:49,Mamografia
CE,Missão Velha,112.0,201712,2026-04-10 23:48:49,Mamografia
CE,Salitre,123.0,201712,2026-04-10 23:48:49,Mamografia
CE,Várzea Alegre,152.0,201712,2026-04-10 23:48:49,Mamografia
CE,Altaneira,225.0,201612,2026-04-10 23:49:03,Mamografia
CE,Barbalha,2882.0,201612,2026-04-10 23:49:03,Mamografia
CE,Brejo Santo,1090.0,201612,2026-04-10 23:49:03,Mamografia
CE,Crato,1814.0,201612,2026-04-10 23:49:03,Mamografia
CE,Juazeiro do Norte,1141.0,201612,2026-04-10 23:49:03,Mamografia
CE,Várzea Alegre,253.0,201612,2026-04-10 23:49:03,Mamografia
