,estado,municipio,valor_indicador,ano_mes,tipo_exame
209,CE,GRANJEIRO,486,202312,Citopatologico
210,CE,JARDIM,1913,202312,Citopatologico
211,CE,JATI,25,202312,Citopatologico
212,CE,JUAZEIRO DO NORTE,10701,202312,Citopatologico
213,CE,MAURITI,3539,202312,Citopatologico
214,CE,MILAGRES,1706,202312,Citopatologico
215,CE,MISSAO VELHA,2009,202312,Citopatologico
216,CE,NOVA OLINDA,735,202312,Citopatologico
217,CE,PENAFORTE,214,202312,Citopatologico
218,CE,PORTEIRAS,1458,202312,Citopatologico
219,CE,POTENGI,454,202312,Citopatologico
220,CE,SALITRE,1088,202312,Citopatologico
221,CE,SANTANA DO CARIRI,1014,202312,Citopatologico
222,CE,TARRAFAS,513,202312,Citopatologico
223,CE,VARZEA ALEGRE,487,202312,Citopatologico
224,CE,ABAIARA,880,202412,Citopatologico
225,CE,ALTANEIRA,0,202412,Citopatologico
226,CE,ANTONINA DO NORTE,447,202412,Citopatologico
227,CE,ARARIPE,1242,202412,Citopatologico
228,CE,ASSARE,1583,202412,Citopatologico
229,CE,AURORA,1064,202412,Citopatologico
230,CE,BARBALHA,3494,202412,Citopatologico
231,CE,BARRO,1218,202412,Citopatologico
232,CE,BREJO SANTO,2413,202412,Citopatologico
233,CE,CAMPOS SALES,1050,202412,Citopatologico
234,CE,CARIRIACU,2164,202412,Citopatologico
235,CE,CRATO,6401,202412,Citopatologico
236,CE,FARIAS BRITO,1475,202412,Citopatologico
237,CE,GRANJEIRO,308,202412,Citopatologico
238,CE,JARDIM,1009,202412,Citopatologico
239,CE,JATI,0,202412,Citopatologico
240,CE,JUAZEIRO DO NORTE,8182,202412,Citopatologico
241,CE,MAURITI,2843,202412,Citopatologico
242,CE,MILAGRES,1524,202412,Citopatologico
243,CE,MISSAO VELHA,1435,202412,Citopatologico
244,CE,NOVA OLINDA,574,202412,Citopatologico
245,CE,PENAFORTE,0,202412,Citopatologico
246,CE,PORTEIRAS,1147,202412,Citopatologico
247,CE,POTENGI,1214,202412,Citopatologico
248,CE,SALITRE,744,202412,Citopatologico
249,CE,SANTANA DO CARIRI,736,202412,Citopatologico
250,CE,TARRAFAS,286,202412,Citopatologico
251,CE,VARZEA ALEGRE,157,202412,Citopatologico
