,estado,municipio,valor_indicador,ano_mes,tipo_exame
202,CE,BARBALHA,2314,202312,Mamografia
203,CE,BARRO,470,202312,Mamografia
204,CE,BREJO SANTO,1135,202312,Mamografia
205,CE,CAMPOS SALES,1076,202312,Mamografia
206,CE,CARIRIACU,366,202312,Mamografia
207,CE,CRATO,2927,202312,Mamografia
208,CE,FARIAS BRITO,405,202312,Mamografia
209,CE,GRANJEIRO,189,202312,Mamografia
210,CE,JARDIM,688,202312,Mamografia
211,CE,JATI,208,202312,Mamografia
212,CE,JUAZEIRO DO NORTE,3590,202312,Mamografia
213,CE,MAURITI,590,202312,Mamografia
214,CE,MILAGRES,494,202312,Mamografia
215,CE,MISSAO VELHA,13,202312,Mamografia
216,CE,NOVA OLINDA,230,202312,Mamografia
217,CE,PENAFORTE,181,202312,Mamografia
218,CE,PORTEIRAS,305,202312,Mamografia
219,CE,POTENGI,353,202312,Mamografia
220,CE,SALITRE,448,202312,Mamografia
221,CE,SANTANA DO CARIRI,262,202312,Mamografia
222,CE,TARRAFAS,128,202312,Mamografia
223,CE,VARZEA ALEGRE,602,202312,Mamografia
224,CE,ABAIARA,188,202412,Mamografia
225,CE,ALTANEIRA,216,202412,Mamografia
226,CE,ANTONINA DO NORTE,154,202412,Mamografia
227,CE,ARARIPE,448,202412,Mamografia
228,CE,ASSARE,543,202412,Mamografia
229,CE,AURORA,316,202412,Mamografia
230,CE,BARBALHA,2599,202412,Mamografia
231,CE,BARRO,273,202412,Mamografia
232,CE,BREJO SANTO,1299,202412,Mamografia
233,CE,CAMPOS SALES,598,202412,Mamografia
234,CE,CARIRIACU,267,202412,Mamografia
235,CE,CRATO,3901,202412,Mamografia
236,CE,FARIAS BRITO,182,202412,Mamografia
237,CE,GRANJEIRO,128,202412,Mamografia
238,CE,JARDIM,873,202412,Mamografia
239,CE,JATI,67,202412,Mamografia
240,CE,JUAZEIRO DO NORTE,5027,202412,Mamografia
241,CE,MAURITI,689,202412,Mamografia
242,CE,MILAGRES,377,202412,Mamografia
243,CE,MISSAO VELHA,73,202412,Mamografia
244,CE,NOVA OLINDA,196,202412,Mamografia
245,CE,PENAFORTE,77,202412,Mamografia
246,CE,PORTEIRAS,367,202412,Mamografia
247,CE,POTENGI,225,202412,Mamografia
248,CE,SALITRE,251,202412,Mamografia
249,CE,SANTANA DO CARIRI,259,202412,Mamografia
250,CE,TARRAFAS,86,202412,Mamografia
251,CE,VARZEA ALEGRE,809,202412,Mamografia
