,estado,ano_mes,municipio,tipo_exame,valor_indicador
197,CE,201912,TARRAFAS,Mamografia,3.0
198,CE,201912,VARZEA ALEGRE,Citopatologico,2447.0
199,CE,201912,VARZEA ALEGRE,Mamografia,156.0
200,CE,202012,ABAIARA,Citopatologico,389.0
201,CE,202012,ABAIARA,Mamografia,118.0
202,CE,202012,ALTANEIRA,Citopatologico,217.0
203,CE,202012,ALTANEIRA,Mamografia,1.0
204,CE,202012,ANTONINA DO NORTE,Citopatologico,99.0
205,CE,202012,ARARIPE,Mamografia,4.0
206,CE,202012,ASSARE,Citopatologico,521.0
207,CE,202012,ASSARE,Mamografia,51.0
208,CE,202012,AURORA,Citopatologico,941.0
209,CE,202012,AURORA,Mamografia,78.0
210,CE,202012,BARBALHA,Citopatologico,1923.0
211,CE,202012,BARBALHA,Mamografia,2580.0
212,CE,202012,BARRO,Citopatologico,444.0
213,CE,202012,BARRO,Mamografia,294.0
214,CE,202012,BREJO SANTO,Citopatologico,5833.0
215,CE,202012,BREJO SANTO,Mamografia,1597.0
216,CE,202012,CAMPOS SALES,Citopatologico,425.0
217,CE,202012,CARIRIACU,Citopatologico,521.0
218,CE,202012,CARIRIACU,Mamografia,179.0
219,CE,202012,CRATO,Citopatologico,10597.0
220,CE,202012,CRATO,Mamografia,3130.0
221,CE,202012,FARIAS BRITO,Citopatologico,808.0
222,CE,202012,GRANJEIRO,Citopatologico,151.0
223,CE,202012,GRANJEIRO,Mamografia,84.0
224,CE,202012,JARDIM,Citopatologico,680.0
225,CE,202012,JARDIM,Mamografia,277.0
226,CE,202012,JATI,Citopatologico,55.0
227,CE,202012,JATI,Mamografia,93.0
228,CE,202012,JUAZEIRO DO NORTE,Citopatologico,9253.0
229,CE,202012,JUAZEIRO DO NORTE,Mamografia,3297.0
230,CE,202012,MAURITI,Citopatologico,825.0
231,CE,202012,MAURITI,Mamografia,509.0
232,CE,202012,MILAGRES,Citopatologico,731.0
233,CE,202012,MILAGRES,Mamografia,117.0
234,CE,202012,MISSAO VELHA,Citopatologico,463.0
